,dates,open,high,low,close,adjusted close,volume,dividend amount,tickers
0,2019-07-17,255.67,258.31,253.35,254.86,254.86,9723799.0,0.0,TSLA
1,2019-07-16,249.3,253.53,247.9325,252.38,252.38,8148989.0,0.0,TSLA
2,2019-07-15,248.0,254.42,244.86,253.5,253.5,11000092.0,0.0,TSLA
3,2019-07-12,239.75,245.38,239.71,245.08,245.08,9200521.0,0.0,TSLA
4,2019-07-11,238.14,241.5,235.8,238.6,238.6,7514430.0,0.0,TSLA
5,2019-07-10,234.15,238.94,233.14,238.92,238.92,9145736.0,0.0,TSLA
6,2019-07-09,228.97,231.0,227.28,230.06,230.06,6190835.0,0.0,TSLA
7,2019-07-08,231.24,232.25,228.66,230.34,230.34,5880542.0,0.0,TSLA
8,2019-07-05,234.57,235.45,230.8,233.1,233.1,7065738.0,0.0,TSLA
9,2019-07-03,239.39,241.57,234.51,234.9,234.9,14201148.0,0.0,TSLA
10,2019-07-02,228.89,229.15,222.22,224.55,224.55,9259027.0,0.0,TSLA
11,2019-07-01,230.21,233.0995,226.28,227.17,227.17,8237964.0,0.0,TSLA
12,2019-06-28,220.99,225.17,220.8,223.46,223.46,6851384.0,0.0,TSLA
13,2019-06-27,219.45,222.9,217.35,222.84,222.84,6339710.0,0.0,TSLA
14,2019-06-26,220.31,227.23,218.1,219.27,219.27,8507208.0,0.0,TSLA
15,2019-06-25,224.39,225.34,219.49,219.76,219.76,6182071.0,0.0,TSLA
16,2019-06-24,223.24,225.86,221.02,223.64,223.64,5750771.0,0.0,TSLA
17,2019-06-21,216.22,222.18,215.5,221.86,221.86,8202078.0,0.0,TSLA
18,2019-06-20,223.0,226.9,216.35,219.62,219.62,11863462.0,0.0,TSLA
19,2019-06-19,225.11,227.77,221.06,226.43,226.43,6575135.0,0.0,TSLA
20,2019-06-18,228.72,234.74,222.56,224.74,224.74,12715788.0,0.0,TSLA
21,2019-06-17,215.48,227.0,214.27,225.03,225.03,12316803.0,0.0,TSLA
22,2019-06-14,211.25,216.65,210.4,214.92,214.92,7433402.0,0.0,TSLA
23,2019-06-13,210.38,214.9,207.5103,213.91,213.91,8168260.0,0.0,TSLA
24,2019-06-12,222.95,223.38,209.0,209.26,209.26,15197544.0,0.0,TSLA
25,2019-06-11,219.1435,220.9,213.5,217.1,217.1,11653537.0,0.0,TSLA
26,2019-06-10,210.25,216.94,209.01,212.88,212.88,10585039.0,0.0,TSLA
27,2019-06-07,205.0,210.8438,203.499,204.5,204.5,16003527.0,0.0,TSLA
28,2019-06-06,204.44,211.0,201.8,205.95,205.95,20242151.0,0.0,TSLA
29,2019-06-05,198.68,201.2782,191.8486,196.59,196.59,13510756.0,0.0,TSLA
30,2019-06-04,181.1,193.98,179.61,193.6,193.6,13807522.0,0.0,TSLA
31,2019-06-03,185.51,186.68,176.9919,178.97,178.97,13064410.0,0.0,TSLA
32,2019-05-31,185.1,189.9204,184.1,185.16,185.16,10406732.0,0.0,TSLA
33,2019-05-30,188.75,192.255,187.02,188.22,188.22,7926475.0,0.0,TSLA
34,2019-05-29,187.1,192.39,185.0401,189.86,189.86,11968638.0,0.0,TSLA
35,2019-05-28,191.2,195.0,187.85,188.7,188.7,10312901.0,0.0,TSLA
36,2019-05-24,199.83,199.98,188.7505,190.63,190.63,14136572.0,0.0,TSLA
37,2019-05-23,194.34,199.465,186.22,195.49,195.49,26547142.0,0.0,TSLA
38,2019-05-22,199.1,203.94,191.78,192.73,192.73,18685187.0,0.0,TSLA
39,2019-05-21,197.76,207.4,196.04,205.08,205.08,18003899.0,0.0,TSLA
40,2019-05-20,202.8,206.0,195.25,205.36,205.36,20526195.0,0.0,TSLA
41,2019-05-17,221.96,222.24,208.92,211.03,211.03,17786666.0,0.0,TSLA
42,2019-05-16,229.49,231.0,226.5,228.33,228.33,7483273.0,0.0,TSLA
43,2019-05-15,229.32,232.44,225.25,231.95,231.95,7295976.0,0.0,TSLA
44,2019-05-14,229.3,234.5,228.0,232.31,232.31,7252412.0,0.0,TSLA
45,2019-05-13,232.01,232.47,224.5,227.01,227.01,10834796.0,0.0,TSLA
46,2019-05-10,239.75,241.99,236.02,239.52,239.52,7008336.0,0.0,TSLA
47,2019-05-09,242.0,243.68,236.9434,241.98,241.98,6711382.0,0.0,TSLA
48,2019-05-08,246.94,250.599,244.2,244.84,244.84,6176440.0,0.0,TSLA
